time_alvo,ano,jogo,home_or_away,home_team,away_team,stadium,tournament,home_score,away_score,away_manager,player_name,player_number,player_position,player_sub,player_captain,statistics_total_pass,statistics_accurate_pass,statistics_total_long_balls,statistics_accurate_long_balls,statistics_duel_won,statistics_total_clearance,statistics_was_fouled,statistics_saved_shots_from_inside_the_box,statistics_saves,statistics_minutes_played,statistics_touches,statistics_rating,statistics_possession_lost_ctrl,statistics_total_cross,statistics_aerial_lost,statistics_duel_lost,statistics_total_contest,statistics_won_contest,statistics_interception_won,statistics_fouls,statistics_key_pass,statistics_aerial_won,statistics_challenge_lost,statistics_total_tackle,statistics_outfielder_block,statistics_dispossessed,statistics_on_target_scoring_attempt,statistics_goals,statistics_shot_off_target,statistics_goal_assist,statistics_big_chance_created,statistics_good_high_claim,statistics_big_chance_missed,home_manager,statistics_accurate_cross,statistics_blocked_scoring_attempt,statistics_total_offside,statistics_penalty_conceded,statistics_penalty_save,statistics_error_lead_to_a_shot,statistics_penalty_won,statistics_hit_woodwork,statistics_punches,statistics_penalty_miss,statistics_total_keeper_sweeper,statistics_accurate_keeper_sweeper,statistics_last_man_tackle,statistics_error_lead_to_a_goal,statistics_penalty_shootout_save,statistics_penalty_shootout_goal,statistics_penalty_shootout_miss,statistics_clearance_off_line,statistics_own_goals,statistics_expected_goals,statistics_expected_assists,statistics_goals_prevented
Flamengo,2019,13,home,Flamengo,LDU,Estádio do Maracanã,"Copa Libertadores, Group D",3,1,Pablo Andres Sanchez,Rodrigo Caio,3,D,FALSE,NA,70,67,6,4,3,2,NA,NA,NA,90,73,6.7,3,NA,NA,1,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Filipe Luis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,13,home,Flamengo,LDU,Estádio do Maracanã,"Copa Libertadores, Group D",3,1,Pablo Andres Sanchez,Renê,6,D,FALSE,NA,65,53,9,9,9,NA,NA,NA,NA,88,86,7.9,17,3,3,3,1,1,2,NA,1,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,Filipe Luis,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,13,home,Flamengo,LDU,Estádio do Maracanã,"Copa Libertadores, Group D",3,1,Pablo Andres Sanchez,Gustavo Cuéllar,8,M,FALSE,NA,84,79,6,4,4,1,1,NA,NA,86,90,6.7,5,NA,NA,5,NA,NA,1,3,NA,2,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,Filipe Luis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,13,home,Flamengo,LDU,Estádio do Maracanã,"Copa Libertadores, Group D",3,1,Pablo Andres Sanchez,Willian Arão,5,M,FALSE,NA,73,64,1,NA,8,2,NA,NA,NA,90,82,7.5,11,1,NA,3,NA,NA,NA,1,1,6,2,2,NA,NA,1,NA,1,1,1,NA,NA,Filipe Luis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,13,home,Flamengo,LDU,Estádio do Maracanã,"Copa Libertadores, Group D",3,1,Pablo Andres Sanchez,Everton Ribeiro,7,M,FALSE,NA,72,63,2,1,6,NA,1,NA,NA,90,90,8.9,15,6,1,4,3,3,2,2,4,2,1,NA,NA,NA,1,1,NA,NA,3,NA,NA,Filipe Luis,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,13,home,Flamengo,LDU,Estádio do Maracanã,"Copa Libertadores, Group D",3,1,Pablo Andres Sanchez,Diego,10,M,FALSE,TRUE,83,66,11,7,4,1,2,NA,NA,90,95,7.2,20,3,NA,3,2,2,1,2,3,NA,1,NA,1,NA,NA,NA,1,1,1,NA,1,Filipe Luis,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,13,home,Flamengo,LDU,Estádio do Maracanã,"Copa Libertadores, Group D",3,1,Pablo Andres Sanchez,Bruno Henrique,27,M,FALSE,NA,19,19,NA,NA,6,NA,2,NA,NA,81,34,6.9,7,1,NA,2,4,2,NA,NA,1,2,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,Filipe Luis,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,13,home,Flamengo,LDU,Estádio do Maracanã,"Copa Libertadores, Group D",3,1,Pablo Andres Sanchez,Gabriel Barbosa,9,F,FALSE,NA,13,9,1,1,1,NA,NA,NA,NA,90,25,6.8,10,2,NA,4,1,NA,NA,3,NA,NA,NA,1,NA,NA,2,1,1,NA,NA,NA,2,Filipe Luis,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,13,home,Flamengo,LDU,Estádio do Maracanã,"Copa Libertadores, Group D",3,1,Pablo Andres Sanchez,Fernando Uribe,20,F,TRUE,NA,4,3,NA,NA,NA,NA,NA,NA,NA,9,5,7.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,Filipe Luis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Flamengo,2019,13,home,Flamengo,LDU,Estádio do Maracanã,"Copa Libertadores, Group D",3,1,Pablo Andres Sanchez,Giorgian De Arrascaeta,14,M,TRUE,NA,6,6,NA,NA,NA,NA,NA,NA,NA,8,7,6.4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Filipe Luis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
