data,ponto,manganes_total,turbidez,periodo,rompimento,ferro_dissolvido,intervalo
2014-06-12 16:15:00,RD067,,6.8,Estiagem,Antes,,1 days 01:25:00
2014-07-08 11:20:00,RD071,0.0352,2.73,Estiagem,Antes,0.111,25 days 19:05:00
2014-07-11 11:20:00,RD035,0.0716,3.91,Estiagem,Antes,0.0948,3 days 00:00:00
2014-07-18 11:20:00,RD045,0.0181,4.11,Estiagem,Antes,0.0995,7 days 00:00:00
2014-07-18 19:00:00,RD067,0.0132,9.4,Estiagem,Antes,0.0814,0 days 07:40:00
2014-08-26 16:30:00,RD035,,2.56,Estiagem,Antes,,38 days 21:30:00
2014-08-27 15:40:00,RD045,,3.73,Estiagem,Antes,,0 days 23:10:00
2014-08-28 17:45:00,RD067,,3.21,Estiagem,Antes,,1 days 02:05:00
2014-09-23 17:00:00,RD035,,2.86,Estiagem,Antes,,25 days 23:15:00
2014-09-24 15:00:00,RD045,,3.16,Estiagem,Antes,,0 days 22:00:00
2014-09-25 15:20:00,RD067,,3.7,Estiagem,Antes,,1 days 00:20:00
2014-10-01 12:35:00,RD071,0.0631,4.21,Chuvoso,Antes,0.0902,5 days 21:15:00
2014-10-03 11:20:00,RD035,,4.42,Chuvoso,Antes,0.0599,1 days 22:45:00
2014-10-10 11:20:00,RD045,0.0395,0.5,Chuvoso,Antes,0.0616,7 days 00:00:00
2014-10-10 19:20:00,RD067,,6.86,Chuvoso,Antes,0.0557,0 days 08:00:00
2014-11-18 15:15:00,RD035,,54.0,Chuvoso,Antes,,38 days 19:55:00
2014-11-19 12:20:00,RD045,,90.7,Chuvoso,Antes,,0 days 21:05:00
2014-11-20 14:40:00,RD067,,177.0,Chuvoso,Antes,,1 days 02:20:00
2014-12-09 14:00:00,RD035,,84.7,Chuvoso,Antes,,18 days 23:20:00
2014-12-10 13:20:00,RD045,,75.3,Chuvoso,Antes,,0 days 23:20:00
2014-12-11 14:00:00,RD067,,45.0,Chuvoso,Antes,,1 days 00:40:00
2015-01-13 12:40:00,RD071,0.0442,3.56,Chuvoso,Antes,0.1736,32 days 22:40:00
