time_alvo,ano,jogo,home_or_away,home_team,away_team,stadium,tournament,home_score,away_score,away_manager,player_name,player_number,player_position,player_sub,player_captain,statistics_total_pass,statistics_accurate_pass,statistics_total_long_balls,statistics_accurate_long_balls,statistics_duel_won,statistics_total_clearance,statistics_was_fouled,statistics_saved_shots_from_inside_the_box,statistics_saves,statistics_minutes_played,statistics_touches,statistics_rating,statistics_possession_lost_ctrl,statistics_total_cross,statistics_accurate_cross,statistics_aerial_lost,statistics_duel_lost,statistics_total_contest,statistics_won_contest,statistics_interception_won,statistics_fouls,statistics_key_pass,statistics_aerial_won,statistics_challenge_lost,statistics_total_tackle,statistics_blocked_scoring_attempt,statistics_outfielder_block,statistics_dispossessed,statistics_on_target_scoring_attempt,statistics_shot_off_target,statistics_total_keeper_sweeper,statistics_accurate_keeper_sweeper,statistics_total_offside,statistics_good_high_claim,home_manager,statistics_goals,statistics_punches,statistics_penalty_won,statistics_penalty_miss,statistics_big_chance_created,statistics_big_chance_missed,statistics_goal_assist,statistics_hit_woodwork,statistics_error_lead_to_a_goal,statistics_penalty_conceded,statistics_penalty_shootout_goal,statistics_penalty_shootout_miss,statistics_own_goals,statistics_error_lead_to_a_shot,statistics_clearance_off_line,statistics_penalty_shootout_save,statistics_last_man_tackle,statistics_penalty_save,statistics_expected_goals,statistics_expected_assists,statistics_goals_prevented
São Paulo,2018,18,home,São Paulo,São Caetano,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,2,0,Edson Vieira,Valdívia,21,M,FALSE,NA,14,12,1,1,2,NA,NA,NA,NA,45,31,7,13,7,NA,NA,2,NA,NA,NA,NA,2,NA,NA,2,NA,NA,2,1,NA,NA,NA,1,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,18,home,São Paulo,São Caetano,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,2,0,Edson Vieira,Santiago Tréllez,17,F,FALSE,NA,14,8,NA,NA,2,1,1,NA,NA,90,28,7.2,9,NA,NA,6,10,1,NA,1,2,NA,1,NA,NA,1,NA,1,2,1,NA,NA,1,NA,Luis Zubeldia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,18,home,São Paulo,São Caetano,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,2,0,Edson Vieira,Lucas Fernandes,11,M,TRUE,NA,22,21,NA,NA,1,NA,1,NA,NA,45,37,7.3,6,4,2,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,18,home,São Paulo,São Caetano,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,2,0,Edson Vieira,Caique,36,D,TRUE,NA,3,3,NA,NA,1,1,NA,NA,NA,28,9,6.4,2,2,1,NA,4,1,NA,1,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,18,home,São Paulo,São Caetano,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,2,0,Edson Vieira,Diego Souza,9,F,TRUE,NA,9,8,NA,NA,3,1,1,NA,NA,10,12,7.6,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,Luis Zubeldia,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,18,home,São Paulo,São Caetano,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,2,0,Edson Vieira,Jean,1,G,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,18,home,São Paulo,São Caetano,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,2,0,Edson Vieira,Aderllan Santos,32,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,18,home,São Paulo,São Caetano,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,2,0,Edson Vieira,Bruno,2,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,18,home,São Paulo,São Caetano,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,2,0,Edson Vieira,Petros,6,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,18,home,São Paulo,São Caetano,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,2,0,Edson Vieira,Felipe Araruna,28,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,18,home,São Paulo,São Caetano,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,2,0,Edson Vieira,Shaylon,20,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,18,home,São Paulo,São Caetano,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,2,0,Edson Vieira,Pedro Augusto,39,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,18,home,São Paulo,São Caetano,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,2,0,Edson Vieira,Brenner,30,F,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,18,home,São Paulo,São Caetano,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,2,0,Edson Vieira,Paulinho Bóia,26,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Sidão,12,G,FALSE,TRUE,21,16,13,8,NA,2,NA,1,1,90,27,7.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Éder Militão,13,D,FALSE,NA,28,18,4,3,5,3,NA,NA,NA,90,47,7.1,15,2,1,1,5,1,1,1,4,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Robert Arboleda,5,D,FALSE,NA,28,24,NA,NA,6,2,1,NA,NA,90,40,7.1,5,NA,NA,1,2,NA,NA,NA,NA,NA,4,NA,1,NA,NA,1,1,3,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Bruno Alves,34,D,FALSE,NA,35,27,4,1,1,5,NA,NA,NA,90,43,6.9,8,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Reinaldo,14,D,FALSE,NA,25,20,4,2,3,NA,1,NA,NA,90,44,6.4,14,4,NA,3,9,1,1,NA,2,2,1,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Jucilei,8,M,FALSE,NA,33,30,4,3,4,NA,NA,NA,NA,90,45,7.3,4,NA,NA,NA,3,1,1,5,2,NA,1,NA,2,1,1,1,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Marcos Guilherme,23,M,FALSE,NA,15,12,NA,NA,4,NA,NA,NA,NA,62,27,6.7,6,1,NA,3,8,NA,NA,2,3,NA,NA,NA,4,1,NA,2,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Petros,6,M,FALSE,NA,34,30,2,1,4,NA,NA,NA,NA,90,49,6.8,8,1,NA,NA,7,1,NA,5,3,NA,NA,2,4,NA,NA,1,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Liziero,31,M,FALSE,NA,31,26,2,1,7,NA,2,NA,NA,74,47,7.2,10,2,NA,NA,3,2,2,1,NA,1,NA,NA,3,NA,NA,3,NA,1,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Nenê,7,M,FALSE,NA,21,17,2,1,3,NA,1,NA,NA,81,39,8.3,11,12,5,NA,2,1,1,1,2,3,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,Luis Zubeldia,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Santiago Tréllez,17,F,FALSE,NA,14,12,NA,NA,5,2,1,NA,NA,90,26,6.5,6,2,NA,6,9,1,1,NA,4,NA,3,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Lucas Fernandes,11,M,TRUE,NA,7,6,NA,NA,NA,NA,NA,NA,NA,28,14,6.3,7,4,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Felipe Araruna,28,M,TRUE,NA,9,9,2,2,1,NA,NA,NA,NA,16,10,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Morato,38,M,TRUE,NA,2,2,NA,NA,NA,NA,NA,NA,NA,9,5,5.9,2,NA,NA,NA,4,1,NA,NA,1,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Jean,1,G,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Caique,36,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Aderllan Santos,32,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Paulo Henrique,35,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Bruno,2,D,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Shaylon,20,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Pedro Augusto,39,M,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Brenner,30,F,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,19,home,São Paulo,Corinthians,Estádio Cícero Pompeu de Toledo,Paulista Série A1 - Playoffs,1,0,Ramón Díaz,Diego Souza,9,F,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luis Zubeldia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,20,away,Corinthians,São Paulo,Neo Química Arena,Paulista Série A1 - Playoffs,6,4,Luis Zubeldia,Sidão,12,G,FALSE,TRUE,27,13,26,12,NA,1,NA,1,1,90,30,6.5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,Ramón Díaz,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,20,away,Corinthians,São Paulo,Neo Química Arena,Paulista Série A1 - Playoffs,6,4,Luis Zubeldia,Éder Militão,13,D,FALSE,NA,19,14,2,1,8,10,NA,NA,NA,90,55,7,13,3,NA,2,9,1,NA,2,3,NA,3,3,5,NA,NA,NA,1,NA,NA,NA,NA,NA,Ramón Díaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,20,away,Corinthians,São Paulo,Neo Química Arena,Paulista Série A1 - Playoffs,6,4,Luis Zubeldia,Robert Arboleda,5,D,FALSE,NA,13,11,3,1,NA,12,NA,NA,NA,90,32,7.2,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,Ramón Díaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,20,away,Corinthians,São Paulo,Neo Química Arena,Paulista Série A1 - Playoffs,6,4,Luis Zubeldia,Bruno Alves,34,D,FALSE,NA,7,4,3,NA,1,13,NA,NA,NA,90,21,6.6,3,NA,NA,2,3,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ramón Díaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,20,away,Corinthians,São Paulo,Neo Química Arena,Paulista Série A1 - Playoffs,6,4,Luis Zubeldia,Reinaldo,14,D,FALSE,NA,14,8,6,3,3,3,NA,NA,NA,90,36,6.9,12,1,1,1,2,2,2,1,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,Ramón Díaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,20,away,Corinthians,São Paulo,Neo Química Arena,Paulista Série A1 - Playoffs,6,4,Luis Zubeldia,Jucilei,8,M,FALSE,NA,29,23,6,3,5,2,NA,NA,NA,90,46,6.8,8,NA,NA,2,9,NA,NA,4,2,NA,NA,4,5,NA,2,1,NA,NA,NA,NA,NA,NA,Ramón Díaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,20,away,Corinthians,São Paulo,Neo Química Arena,Paulista Série A1 - Playoffs,6,4,Luis Zubeldia,Marcos Guilherme,23,M,FALSE,NA,13,7,3,NA,1,1,NA,NA,NA,75,23,6.2,11,2,NA,3,6,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,Ramón Díaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,20,away,Corinthians,São Paulo,Neo Química Arena,Paulista Série A1 - Playoffs,6,4,Luis Zubeldia,Petros,6,M,FALSE,NA,26,19,2,1,13,1,2,NA,NA,90,47,7.8,9,NA,NA,1,6,NA,NA,3,1,1,NA,3,11,NA,2,1,NA,NA,NA,NA,NA,NA,Ramón Díaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,20,away,Corinthians,São Paulo,Neo Química Arena,Paulista Série A1 - Playoffs,6,4,Luis Zubeldia,Liziero,31,M,FALSE,NA,25,22,1,1,8,2,2,NA,NA,90,44,7.3,8,3,NA,1,2,2,2,3,NA,NA,1,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,Ramón Díaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,20,away,Corinthians,São Paulo,Neo Química Arena,Paulista Série A1 - Playoffs,6,4,Luis Zubeldia,Nenê,7,M,FALSE,NA,25,20,3,2,6,NA,3,NA,NA,65,47,6.9,14,4,NA,NA,5,3,1,1,2,NA,2,1,1,NA,1,1,NA,2,NA,NA,NA,NA,Ramón Díaz,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,20,away,Corinthians,São Paulo,Neo Química Arena,Paulista Série A1 - Playoffs,6,4,Luis Zubeldia,Santiago Tréllez,17,F,FALSE,NA,10,5,1,1,4,2,1,NA,NA,71,25,6.4,12,NA,NA,1,6,2,NA,1,1,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ramón Díaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,20,away,Corinthians,São Paulo,Neo Química Arena,Paulista Série A1 - Playoffs,6,4,Luis Zubeldia,Lucas Fernandes,11,M,TRUE,NA,7,4,NA,NA,2,1,NA,NA,NA,25,11,6.5,4,NA,NA,1,3,NA,NA,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ramón Díaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,20,away,Corinthians,São Paulo,Neo Química Arena,Paulista Série A1 - Playoffs,6,4,Luis Zubeldia,Diego Souza,9,F,TRUE,NA,11,8,NA,NA,5,NA,NA,NA,NA,19,18,6.6,7,NA,NA,NA,3,2,1,NA,1,NA,3,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,Ramón Díaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,20,away,Corinthians,São Paulo,Neo Química Arena,Paulista Série A1 - Playoffs,6,4,Luis Zubeldia,Caique,36,D,TRUE,NA,2,2,NA,NA,1,NA,NA,NA,NA,15,6,6.2,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ramón Díaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
São Paulo,2018,20,away,Corinthians,São Paulo,Neo Química Arena,Paulista Série A1 - Playoffs,6,4,Luis Zubeldia,Jean,1,G,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ramón Díaz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
